id;ci;primerNom;segundoNom;primerApe;segundoApe;genero;fechaNacimiento;email;calle;npuerta;id_ciudad;habilitado;id_tipo;especialidad;usuario;contrasena;pin
1;4606718;Julia;Leila;Howe;Perry;M;1959-05-10;Maecenas.libero@gmail.com;Quisque;1538;2;NULL;2;Ginecologa;jul59;681nlo;NULL
2;3557076;Beverly;NULL;Riley;Contreras;M;1999-09-26;nulla.at.sem@hotmail.com;Vivamus;4995;5;1;3;NULL;NULL;NULL;NULL
3;2839922;Anastasia;Jaquelyn;Crado;Kiss;M;1946-11-10;lobortis.tellus.justo@gmail.com;Ariel;5999;6;NULL;1;NULL;admintata16;14adhj;2006
4;4133638;Oscar;Spencer;Rodriguez;Yang;H;2002-07-20;nec@utpharetra.net;Box;8500;10;0;3;NULL;NULL;NULL;NULL
5;1432111;Alexander;Marcelo;Coper;Wallace;H;1967-05-16;ultrices.sit@egestaslacinia.com;Oncativo;5943;1;1;3;NULL;NULL;NULL;NULL
6;2204067;Nicole;NULL;Ocampos;Vinson;M;1986-07-27;ultrices.sit.amet@Integer.net;Malesuada;4229;1;1;3;NULL;NULL;NULL;NULL
7;5666113;Pedro;Ivan;Casilla;Woodward;H;2000-05-03;mauris.ut@justonecante.com;Elementum;6006;1;1;3;NULL;NULL;NULL;NULL
8;4280732;Joaquin;Sebastian;Monroe;Diaz;H;1995-06-21;Integer.id.magna@parturient.com;Facilisis;8334;1;1;3;NULL;NULL;NULL;NULL
9;3156712;Camila;NULL;Perez;Roy;M;1985-11-11;tristique.aliquet@inceptos.com;"Av. Italia";9062;1;1;3;NULL;NULL;NULL;NULL
10;6149604;Micaela;Julieta;Foster;Bowman;M;1979-07-18;sociosqu.ad.litora@gmail.com;Lacinia;9988;6;NULL;2;Oftalmologa;jul79;qn96v3;NULL
11;5224198;Erik;Carlos;Rice;Carpe;H;1966-12-26;non.luctus.sit@lacusvarius.org;Parturient;7016;17;NULL;2;Otorrinolaringólogo;ric66;v13t35;NULL
12;3208289;Thadeo;Juan;Guerrero;Tran;H;1975-02-11;amet.ornare.lectus@facilisis.com;Temperley;1078;22;NULL;2;Cardiologa;tran75;uw148j;NULL
